Country,Economic status,Coastal population,Waste generation rate (kg/person/day),% Plastic in waste stream,% Inadequately managed waste,% Littered waste,Waste generation (kg/day),Plastic waste generation (kg/day),Inadequately managed plastic waste (kg/day),"Plastic waste littered
 (kg/day)",Mismanaged plastic waste (kg/person/day),"Mismanaged plastic waste in 2010 in tonnes
 (tonnes)",Mismanaged plastic waste in 2015 in tonnes,Region,Plastic waste generation per person(kg/day/person),"GDP per capita",
Tuvalu,UMI,11563,1.2,11.95,73.4860443,2,13875.6,1658.1342,1218.497233,33.162684,0.108246988,456.8558696,861.1251046,Oceania,0.1434,3281.502177,
Ukraine,LMI,6812799,0.79,12.95,48.6153297,2,5382111.21,696983.4017,338840.7787,13939.66803,0.051782013,128764.8631,233388.4189,Europe,0.102305,11778.3137,
United Arab Emirates,HIC,2018302,1.66,11.95,0.0638208,2,3350381.32,400370.5677,255.5196993,8007.411355,0.004094001,3015.969835,5910.464885,Asia,0.19837,54921.77558,
United Kingdom,HIC,43258889,1.79,11.95,8.12E-09,2,77433411.31,9253292.652,0.000751367,185065.853,0.0042781,67549.03663,94164.76305,Europe,0.213905,42089.01364,
United States of America,HIC,112925034,2.58,12.95,8.38E-10,2,291346587.7,37729383.11,0.000316172,754587.6622,0.0066822,275424.4968,336818.6977,North America,0.33411,54315.91248,
Uruguay,HIC,2433597,2.1,11.95,7.6731738,2,5110553.7,610711.1672,46860.92927,12214.22334,0.02427483,21562.4307,8037.00075,South America,0.25095,19293.7408,
USVI,HIC,134219,2.1,11.95,0.0321997,2,281859.9,33682.25805,10.84558605,673.645161,0.005099805,249.8391227,296.1482356,North America,0.25095,43543.88976,
Vanuatu,LMI,251851,3.28,8.95,81.2954374,2,826071.28,73933.37956,60104.4643,1478.667591,0.244522086,22477.84314,38006.44439,Oceania,0.29356,3088.978879,
Venezuela,HIC,16094897,2.1,11.95,4.9414179,2,33799283.7,4039014.402,199584.5807,80780.28804,0.017419488,102333.1771,154242.8028,South America,0.25095,,
Vietnam,LMI,55858245,0.79,12.95,85.9183423,2,44128013.55,5714577.755,4909870.476,114291.5551,0.08994486,1833819.141,4172828.175,Asia,0.102305,5089.411016,
Yemen,LMI,6048920,0.79,12.95,72.9005021,2,4778646.8,618834.7606,451133.6476,12376.69521,0.076626959,169181.2751,513907.4895,Asia,0.102305,,
,,,,,,,,,,,Total,31865273.55,69143289.62,,,,
,,,,,,,,,,,,,,,0.01003,,
